INFO 2022-11-24 15:17:59,546 User: Данил Дмитренко - Ученик И902С, path: /certification/start/2/, Lead time: 0.2635633945465088
INFO 2022-11-24 15:18:43,541 User: Данил Дмитренко - Ученик И902С, path: /certification/start/2/, Lead time: 0.17911863327026367
INFO 2022-11-24 15:20:11,463 User: Данил Дмитренко - Ученик И902С, path: /certification/start/2/, Lead time: 0.2673614025115967
INFO 2022-11-24 15:22:15,762 User: Данил Дмитренко - Ученик И902С, path: /certification/start/2/, Lead time: 0.27866649627685547
INFO 2022-11-24 15:22:39,847 User: Данил Дмитренко - Ученик И902С, path: /certification/start/2/, Lead time: 0.1962587833404541
INFO 2022-11-24 15:23:05,258 User: Данил Дмитренко - Ученик И902С, path: /certification/start/2/, Lead time: 0.19102168083190918
INFO 2022-11-24 15:23:47,939 User: Данил Дмитренко - Ученик И902С, path: /certification/start/2/, Lead time: 0.18496251106262207
INFO 2022-11-24 15:24:22,103 User: Данил Дмитренко - Ученик И902С, path: /certification/start/2/, Lead time: 0.18748831748962402
INFO 2022-11-24 15:24:53,955 User: Данил Дмитренко - Ученик И902С, path: /certification/start/2/, Lead time: 0.2085707187652588
INFO 2022-11-24 15:25:39,402 User: Данил Дмитренко - Ученик И902С, path: /certification/start/2/, Lead time: 0.18664860725402832
INFO 2022-11-24 15:26:15,076 User: Данил Дмитренко - Ученик И902С, path: /certification/start/2/, Lead time: 0.17310404777526855
INFO 2022-11-24 22:56:33,993 User: AnonymousUser, path: /, Lead time: 0.22568702697753906
INFO 2022-11-24 22:56:34,104 User: AnonymousUser, path: /profile/login/, Lead time: 0.10450887680053711
INFO 2022-11-24 22:56:34,397 User: AnonymousUser, path: /favicon.ico, Lead time: 0.18541431427001953
INFO 2022-11-24 22:56:36,069 User: Данил Дмитренко - Ученик И902С, path: /profile/login/, Lead time: 0.43911314010620117
INFO 2022-11-24 22:56:36,198 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.11645317077636719
INFO 2022-11-24 22:56:39,803 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.18435096740722656
INFO 2022-11-24 22:56:40,731 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.10009765625
INFO 2022-11-24 22:56:46,706 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.2173023223876953
INFO 2022-11-24 22:57:52,683 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.16692638397216797
INFO 2022-11-24 22:58:59,101 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.11832380294799805
INFO 2022-11-24 22:59:45,051 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.11706995964050293
INFO 2022-11-24 23:00:25,013 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.15850114822387695
INFO 2022-11-24 23:00:54,188 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.1616988182067871
INFO 2022-11-24 23:01:05,839 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.2188706398010254
INFO 2022-11-24 23:01:56,394 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.28272485733032227
INFO 2022-11-24 23:02:08,938 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.13721609115600586
INFO 2022-11-24 23:05:53,352 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.2730414867401123
INFO 2022-11-24 23:06:12,886 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.12731719017028809
INFO 2022-11-24 23:06:23,226 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.11883831024169922
INFO 2022-11-24 23:06:59,770 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.2418196201324463
INFO 2022-11-24 23:07:22,449 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.17195558547973633
INFO 2022-11-24 23:07:22,570 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.11529135704040527
INFO 2022-11-24 23:14:38,546 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.2295992374420166
INFO 2022-11-24 23:14:39,826 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.09428548812866211
INFO 2022-11-24 23:14:41,120 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.12262439727783203
INFO 2022-11-24 23:14:41,232 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.10517477989196777
INFO 2022-11-24 23:16:05,405 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.1321732997894287
INFO 2022-11-24 23:16:06,378 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.08871221542358398
INFO 2022-11-24 23:16:07,176 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.1267077922821045
INFO 2022-11-24 23:16:07,287 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.10454034805297852
INFO 2022-11-24 23:16:08,876 User: Данил Дмитренко - Ученик И902С, path: /course/2/, Lead time: 0.22138714790344238
INFO 2022-11-24 23:16:09,562 User: Данил Дмитренко - Ученик И902С, path: /test/4/, Lead time: 0.08863496780395508
INFO 2022-11-24 23:16:10,809 User: Данил Дмитренко - Ученик И902С, path: /test/4/, Lead time: 0.1955738067626953
INFO 2022-11-24 23:16:12,184 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.09725475311279297
INFO 2022-11-24 23:16:13,352 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.10197210311889648
INFO 2022-11-24 23:16:14,318 User: Данил Дмитренко - Ученик И902С, path: /test/2/, Lead time: 0.19019031524658203
INFO 2022-11-24 23:16:15,337 User: Данил Дмитренко - Ученик И902С, path: /certification/start/2/, Lead time: 0.12034296989440918
INFO 2022-11-24 23:16:15,449 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.10604310035705566
INFO 2022-11-24 23:16:44,428 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.12918972969055176
INFO 2022-11-24 23:16:45,089 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.09478116035461426
INFO 2022-11-24 23:16:46,415 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.12251091003417969
INFO 2022-11-24 23:16:46,518 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.0974423885345459
INFO 2022-11-24 23:18:00,712 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.23789739608764648
INFO 2022-11-24 23:18:01,567 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.1231241226196289
INFO 2022-11-24 23:18:02,338 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.20186710357666016
INFO 2022-11-24 23:18:03,194 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.11768102645874023
INFO 2022-11-24 23:18:03,306 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.1058664321899414
INFO 2022-11-24 23:19:20,173 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.13352060317993164
INFO 2022-11-24 23:19:20,968 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.20055174827575684
INFO 2022-11-24 23:19:21,991 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.11685609817504883
INFO 2022-11-24 23:19:22,134 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.1009817123413086
INFO 2022-11-24 23:19:32,956 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.13100504875183105
INFO 2022-11-24 23:19:33,678 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.11081862449645996
INFO 2022-11-24 23:19:34,714 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.11697793006896973
INFO 2022-11-24 23:19:34,829 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.10924196243286133
INFO 2022-11-24 23:20:43,906 User: Данил Дмитренко - Ученик И902С, path: /course/2/, Lead time: 0.2440190315246582
INFO 2022-11-24 23:20:44,638 User: Данил Дмитренко - Ученик И902С, path: /test/2/, Lead time: 0.10765385627746582
INFO 2022-11-24 23:20:45,692 User: Данил Дмитренко - Ученик И902С, path: /certification/start/2/, Lead time: 0.22324800491333008
INFO 2022-11-24 23:20:45,809 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.1116495132446289
INFO 2022-11-24 23:21:38,919 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.10552239418029785
INFO 2022-11-24 23:21:39,416 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.21392464637756348
INFO 2022-11-24 23:21:40,290 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.0945730209350586
INFO 2022-11-24 23:21:41,209 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.11532330513000488
INFO 2022-11-24 23:21:41,423 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.20958423614501953
INFO 2022-11-24 23:22:35,558 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.14170074462890625
INFO 2022-11-24 23:22:36,384 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.20006203651428223
INFO 2022-11-24 23:22:37,330 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.12445282936096191
INFO 2022-11-24 23:22:37,442 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.10524582862854004
INFO 2022-11-24 23:22:50,865 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.23291468620300293
INFO 2022-11-24 23:22:51,713 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.21471023559570312
INFO 2022-11-24 23:22:52,509 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.11343240737915039
INFO 2022-11-24 23:22:52,621 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.10565185546875
INFO 2022-11-24 23:23:16,665 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.13396739959716797
INFO 2022-11-24 23:23:17,317 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.10464739799499512
INFO 2022-11-24 23:23:18,059 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.11558866500854492
INFO 2022-11-24 23:23:18,278 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.2125988006591797
INFO 2022-11-24 23:25:16,496 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.13486480712890625
INFO 2022-11-24 23:25:17,292 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.19974708557128906
INFO 2022-11-24 23:25:18,190 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.22680974006652832
INFO 2022-11-24 23:25:18,305 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.10853695869445801
INFO 2022-11-24 23:25:45,990 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.1334998607635498
INFO 2022-11-24 23:25:46,784 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.09322476387023926
INFO 2022-11-24 23:25:47,827 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.11731481552124023
INFO 2022-11-24 23:25:47,943 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.10922479629516602
INFO 2022-11-24 23:42:52,577 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.13372254371643066
INFO 2022-11-24 23:42:53,267 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.09085655212402344
INFO 2022-11-24 23:42:54,261 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.1260051727294922
INFO 2022-11-24 23:42:54,374 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.10468578338623047
INFO 2022-11-24 23:45:18,954 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.24702692031860352
INFO 2022-11-24 23:45:19,766 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.09554553031921387
INFO 2022-11-24 23:45:20,854 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.12594270706176758
INFO 2022-11-24 23:45:20,975 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.11359238624572754
INFO 2022-11-24 23:49:49,554 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.12986207008361816
INFO 2022-11-24 23:49:50,292 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.09115886688232422
INFO 2022-11-24 23:49:51,535 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.13213801383972168
INFO 2022-11-24 23:49:51,825 User: Данил Дмитренко - Ученик И902С, path: /certification/decision/0/, Lead time: 0.2844724655151367
INFO 2022-11-24 23:52:40,543 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.13988733291625977
INFO 2022-11-24 23:52:40,826 User: Данил Дмитренко - Ученик И902С, path: /certification/decision/0/, Lead time: 0.27188658714294434
INFO 2022-11-24 23:53:29,285 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.14694952964782715
INFO 2022-11-24 23:53:29,461 User: Данил Дмитренко - Ученик И902С, path: /certification/decision/0/, Lead time: 0.17154645919799805
INFO 2022-11-25 01:05:46,483 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.1177682876586914
INFO 2022-11-25 01:05:49,426 User: Данил Дмитренко - Ученик И902С, path: /admin/, Lead time: 0.2575106620788574
INFO 2022-11-25 01:05:50,164 User: Данил Дмитренко - Ученик И902С, path: /admin/, Lead time: 0.1126863956451416
INFO 2022-11-25 01:14:16,556 User: Данил Дмитренко - Ученик И902С, path: /admin/, Lead time: 0.16987085342407227
INFO 2022-11-25 01:14:20,954 User: Данил Дмитренко - Ученик И902С, path: /admin/certification/testresault/, Lead time: 0.2564857006072998
INFO 2022-11-25 01:14:21,149 User: Данил Дмитренко - Ученик И902С, path: /admin/jsi18n/, Lead time: 0.14211535453796387
INFO 2022-11-25 01:14:22,902 User: Данил Дмитренко - Ученик И902С, path: /admin/certification/testresault/1/change/, Lead time: 0.25890469551086426
INFO 2022-11-25 01:14:23,033 User: Данил Дмитренко - Ученик И902С, path: /admin/jsi18n/, Lead time: 0.10933184623718262
INFO 2022-11-25 01:14:48,036 User: Данил Дмитренко - Ученик И902С, path: /admin/certification/testresault/, Lead time: 0.23647141456604004
INFO 2022-11-25 01:14:58,672 User: Данил Дмитренко - Ученик И902С, path: /admin/certification/testresault/, Lead time: 0.1844325065612793
INFO 2022-11-25 01:14:59,996 User: Данил Дмитренко - Ученик И902С, path: /admin/certification/testresault/, Lead time: 0.2818174362182617
INFO 2022-11-25 01:15:00,135 User: Данил Дмитренко - Ученик И902С, path: /admin/certification/testresault/, Lead time: 0.13013935089111328
INFO 2022-11-25 01:15:00,252 User: Данил Дмитренко - Ученик И902С, path: /admin/jsi18n/, Lead time: 0.09034967422485352
INFO 2022-11-25 01:15:02,869 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.14053845405578613
INFO 2022-11-25 01:15:12,723 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.10578680038452148
INFO 2022-11-25 01:15:13,513 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.09276723861694336
INFO 2022-11-25 01:15:14,589 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.18137598037719727
INFO 2022-11-25 01:15:14,796 User: Данил Дмитренко - Ученик И902С, path: /certification/decision/0/, Lead time: 0.20183253288269043
INFO 2022-11-25 01:16:03,433 User: Данил Дмитренко - Ученик И902С, path: /certification/decision/0/, Lead time: 0.3028743267059326
INFO 2022-11-25 01:20:00,363 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.12607407569885254
INFO 2022-11-25 01:20:01,688 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.11385607719421387
INFO 2022-11-25 01:20:02,329 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.09909248352050781
INFO 2022-11-25 01:20:03,220 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.18642592430114746
INFO 2022-11-25 01:20:03,447 User: Данил Дмитренко - Ученик И902С, path: /certification/decision/0/, Lead time: 0.22081518173217773
INFO 2022-11-25 01:21:35,895 User: Данил Дмитренко - Ученик И902С, path: /certification/decision/0/, Lead time: 0.27224254608154297
INFO 2022-11-25 01:21:41,362 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.12332034111022949
INFO 2022-11-25 01:21:42,867 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.0990900993347168
INFO 2022-11-25 01:21:43,896 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.09501814842224121
INFO 2022-11-25 01:21:46,144 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.292952299118042
INFO 2022-11-25 01:25:11,968 User: Данил Дмитренко - Ученик И902С, path: /admin/, Lead time: 0.19873380661010742
INFO 2022-11-25 01:25:12,821 User: Данил Дмитренко - Ученик И902С, path: /admin/, Lead time: 0.11263918876647949
INFO 2022-11-25 01:25:14,920 User: Данил Дмитренко - Ученик И902С, path: /admin/certification/testresault/, Lead time: 0.2678961753845215
INFO 2022-11-25 01:25:15,061 User: Данил Дмитренко - Ученик И902С, path: /admin/jsi18n/, Lead time: 0.10329604148864746
INFO 2022-11-25 01:25:16,348 User: Данил Дмитренко - Ученик И902С, path: /admin/certification/testresault/3/change/, Lead time: 0.17717838287353516
INFO 2022-11-25 01:25:16,477 User: Данил Дмитренко - Ученик И902С, path: /admin/jsi18n/, Lead time: 0.10074377059936523
INFO 2022-11-25 01:25:18,101 User: Данил Дмитренко - Ученик И902С, path: /admin/certification/testresault/, Lead time: 0.12256121635437012
INFO 2022-11-25 01:25:20,337 User: Данил Дмитренко - Ученик И902С, path: /admin/certification/testresault/2/change/, Lead time: 0.14986038208007812
INFO 2022-11-25 01:25:20,461 User: Данил Дмитренко - Ученик И902С, path: /admin/jsi18n/, Lead time: 0.09657573699951172
INFO 2022-11-25 01:25:21,303 User: Данил Дмитренко - Ученик И902С, path: /admin/certification/testresault/, Lead time: 0.11844325065612793
INFO 2022-11-25 01:25:24,611 User: Данил Дмитренко - Ученик И902С, path: /admin/certification/testresault/, Lead time: 0.2452104091644287
INFO 2022-11-25 01:25:26,062 User: Данил Дмитренко - Ученик И902С, path: /admin/certification/testresault/, Lead time: 0.18388772010803223
INFO 2022-11-25 01:25:26,192 User: Данил Дмитренко - Ученик И902С, path: /admin/certification/testresault/, Lead time: 0.11851954460144043
INFO 2022-11-25 01:25:26,308 User: Данил Дмитренко - Ученик И902С, path: /admin/jsi18n/, Lead time: 0.09386849403381348
INFO 2022-11-25 01:25:28,601 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.12122583389282227
INFO 2022-11-25 01:25:30,236 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.12125730514526367
INFO 2022-11-25 01:25:30,932 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.09973621368408203
INFO 2022-11-25 01:25:31,916 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.1843404769897461
INFO 2022-11-25 01:25:32,144 User: Данил Дмитренко - Ученик И902С, path: /certification/decision/0/, Lead time: 0.2214219570159912
INFO 2022-11-25 01:26:03,527 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.10522270202636719
INFO 2022-11-25 01:26:05,063 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.21384549140930176
INFO 2022-11-25 01:26:06,095 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.10093045234680176
INFO 2022-11-25 01:26:07,066 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.1837913990020752
INFO 2022-11-25 01:28:48,151 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.21392154693603516
INFO 2022-11-25 01:28:55,269 User: Данил Дмитренко - Ученик И902С, path: /, Lead time: 0.23299217224121094
INFO 2022-11-25 01:28:57,045 User: Данил Дмитренко - Ученик И902С, path: /course/1/, Lead time: 0.10712814331054688
INFO 2022-11-25 01:28:57,937 User: Данил Дмитренко - Ученик И902С, path: /test/1/, Lead time: 0.19795513153076172
INFO 2022-11-25 01:28:59,392 User: Данил Дмитренко - Ученик И902С, path: /certification/start/1/, Lead time: 0.18186068534851074
INFO 2022-11-25 01:29:16,644 User: Данил Дмитренко - Ученик И902С, path: /admin/, Lead time: 0.1457815170288086
INFO 2022-11-25 01:29:18,370 User: Данил Дмитренко - Ученик И902С, path: /admin/certification/testresault/, Lead time: 0.1491849422454834
INFO 2022-11-25 01:29:18,501 User: Данил Дмитренко - Ученик И902С, path: /admin/jsi18n/, Lead time: 0.09989190101623535
INFO 2022-11-25 01:29:21,226 User: Данил Дмитренко - Ученик И902С, path: /admin/certification/testresault/, Lead time: 0.12949848175048828
